title,speaker,date,sermonUrl
Daniel 6,Bob Martin,2017-01-08,//35.190.93.184/sermons/20170108_sunday_bob_martin_daniel6.mp3
It’s Your Turn,Barry Gin,2016-12-25,//35.190.93.184/sermons/20161225_sunday_barry_gin_it's_your_turn.mp3
A Balanced View of Faith,Barry Gin,2016-12-11,//35.190.93.184/sermons/20161211_sunday_barry_gin_a_balanced_view_of_faith.mp3
Godly Faith is Worth It,Barry Gin,2016-11-20,//35.190.93.184/sermons/20161120_sunday_barry_gin_godly_faith_is_worth_it.mp3
Faith Leaves a Legacy,Barry Gin,2016-11-13,//35.190.93.184/sermons/20161113_sunday_barry_gin_faith_leaves_a_legacy.mp3
Which World Are You Living For,Barry Gin,2016-10-30,//35.190.93.184/sermons/20161030_sunday_barry_gin_which_world_are_you_living_for.mp3
Faith Steps Out of the Comfort Zone,Barry Gin,2016-10-23,//35.190.93.184/sermons/20161023_sunday_barry_gin_faith_steps_out_of_the_comfort_zone.mp3
Faith Takes God Seriously,Barry Gin,2016-10-16,//35.190.93.184/sermons/20161016_sunday_barry_gin_faith_takes_god_seriously.mp3
Faith’s Bottom Line,Barry Gin,2016-10-02,//35.190.93.184/sermons/20161002_sunday_barry_gin_faith's_bottom_line.mp3
Are You Walking with God,Barry Gin,2016-09-25,//35.190.93.184/sermons/20160925_sunday_barry_gin_are_you_walking_with_god.mp3
Faith Leads To True Worship,Barry Gin,2016-09-18,//35.190.93.184/sermons/20160918_sunday_barry_gin_faith_leads_to_true_worship.mp3
Believing is Seeing,Barry Gin,2016-09-11,//35.190.93.184/sermons/20160911_sunday_barry_gin_believing_is_seeing.mp3
The Politically Active Christian,Barry Gin,2016-08-28,//35.190.93.184/sermons/20160828_sunday_barry_gin_The_Politically_Active_Christian.MP3
Made To Last,Barry Gin,2016-08-21,//35.190.93.184/sermons/20160821_sunday_barry_gin_made_to_last.mp3
Message,James Huang,2016-08-14,//35.190.93.184/sermons/20160814_Message.mp3
See Things Through His Eyes,Barry Gin,2016-07-31,"//35.190.93.184/sermons/20160731_sunday_barry_gin_see_things_through_his_eyes.mp3"" title=""See"
Keep Your Cool,Barry Gin,2016-07-17,//35.190.93.184/sermons/20160717_sunday_barry_gin_keep_your_cool.mp3
Consumer or Contributor,Barry Gin,2016-07-03,//35.190.93.184/sermons/20160703_sunday_barry_gin_consumer_or_contributor.mp3
Sensitivity Training,Barry Gin,2016-06-26,//35.190.93.184/sermons/20160626_sunday_barry_gin_sensitivity_training.mp3
How Big Is Your Head,Barry Gin,2016-06-19,//35.190.93.184/sermons/20160619_sunday_barry_gin_how_big_is_your_head.mp3
