title,speaker,date,sermonUrl
Divine Development,Jalon Chan,2012-09-16,//35.190.93.184/sermons/20120916_sunday_jalon_chan_divine_development.mp3
"Do You See A Hurting World, Or Do You See Dead People?",Kathy Khang,2012-09-09,//35.190.93.184/sermons/20120909_sunday_kathy_khang_do_you_see_a_hurting_world_or_do_you_see_dead_people.mp3
Wisdumb,Tony Chon,2012-09-02,//35.190.93.184/sermons/20120902_sunday_pastor_tony_wisdumb.mp3
A Faith That Keeps Us In The Race,Robert Martin,2012-08-26,//35.190.93.184/sermons/20120826_sunday_dr_bob_martin_a_faith_that_keeps_us_in_the_race.mp3
Meet Me In The Valley,Jonathan Butler,2012-08-19,//35.190.93.184/sermons/20120819_sunday_pastor_jonathan_butler_meet_me_in_the_valley.mp3
Faith Challenges,Barry Gin,2012-08-12,//35.190.93.184/sermons/20120812_sunday_pastor_barry_jin_faith_challenges.mp3
Be Still And Know That I Give Rest (Session 1),Mitch Kim,2012-08-02,//35.190.93.184/sermons/20120802_retreat_1_mitch_kim_be_still_and_know_that_i_give_rest.mp3
Be Still And Know That I Save (Session 2),Mitch Kim,2012-08-03,//35.190.93.184/sermons/20120803_retreat_2_mitch_kim_be_still_and_know_that_i_save.mp3
Be Still And Know That I Call (Session 3),Mitch Kim,2012-08-03,//35.190.93.184/sermons/20120803_retreat_3_mitch_kim_be_still_and_know_that_i_call.mp3
Be Still And Know That I Conquer (Session 4),Mitch Kim,2012-08-04,//35.190.93.184/sermons/20120804_retreat_4_mitch_kim_be_still_and_know_that_i_conquer.mp3
Be Still And Know That I Work Through You (Session 5),Mitch Kim,2012-08-04,//35.190.93.184/sermons/20120804_retreat_5_mitch_kim_be_still_and_know_that_i_work_through_you.mp3
Retreat Conclusion (Session 6),Tony Chon,2012-08-05,//35.190.93.184/sermons/20120805_retreat_6_tony_chon_retreat_conclusion.mp3
The Bar At Measure Zero,Gary Hua,2012-07-29,//35.190.93.184/sermons/20120729_sunday_rev_gary_hua_the_bar_at_measure_zero.mp3
A Whole New Life In Christ,Dan Shiau,2012-07-22,//35.190.93.184/sermons/20120722_sunday_director_dan_shiau_a_whole_new_life_in_christ.mp3
Water Into Wine,Damian Lay,2012-07-15,//35.190.93.184/sermons/20120715_sunday_damian_lay_water_into_wine.mp3
The Look Of Love,Jalon Chan,2012-07-08,//35.190.93.184/sermons/20120708_sunday_jalon_chan_the_look_of_love.mp3
God’s Faithful Presence,Vincent Bacote,2012-06-24,//35.190.93.184/sermons/20120624_sunday_vincent_bacote_gods_faithful_presence.mp3
God’s Word For Our Entire Lives,Vincent Bacote,2012-06-17,//35.190.93.184/sermons/20120617_sunday_vincent_bacote_god's_word_for_our_entire_lives.mp3
Don’t Lose The Wonder,Barry Gin,2012-06-10,//35.190.93.184/sermons/20120610_sunday_barry_gin_dont_lose_the_wonder.mp3
Tithes And Offering,Tony Chon,2012-06-03,//35.190.93.184/sermons/20120603_pastor_tony_tithes_and_offering.mp3
Oh What Beautiful Hands You Have!,Jimmy Kuo,2012-05-27,//35.190.93.184/sermons/20120527_sunday_jimmy_kuo_oh_what_beautiful_hands_you_have!.mp3
Spending A Day With Jesus,Robert Martin,2012-04-29,//35.190.93.184/sermons/20120429_sunday_dr_robert_martin_spending_a_day_with_jesus.mp3
The Priority Of Prayer,Jalon Chan,2012-04-22,//35.190.93.184/sermons/20120422_sunday_jalon_chan_the_priority_of_prayer.mp3
Like A Tree Planted By Streams Of Water,James Wilhoit,2012-04-15,//35.190.93.184/sermons/20120415_sunday_dr_james_wilhoit_like_a_tree_planted_by_streams_of_water.mp3
Come Out,Tony Chon,2012-04-08,//35.190.93.184/sermons/20120408_sunday_tony_chon_come_out.mp3
The Untriumphal,Tony Chon,2012-04-01,//35.190.93.184/sermons/20120401_sunday_tony_chon_the_untriumphal_entry.mp3
God Our Deliverer,Vincent Bacote,2012-03-25,//35.190.93.184/sermons/20120325_sunday_dr_vincent_bacote_god_our_deliverer.mp3
Do You Know Who You Are,Kathy Kang,2012-03-18,//35.190.93.184/sermons/20120317_sunday_director_kathy_kang_do_you_know_who_you_are.mp3
Wait and Listen: A Missing Part of Prayer,Frank Pisczcor,2012-03-11,//35.190.93.184/sermons/20120311_sunday_frank_piszczor_wait_and_listen_a_missing_part_of_prayer.mp3
The “Words” of God,Henry Kim,2012-02-19,//35.190.93.184/sermons/20120219_sunday_henry_kim_the_words_of_god.mp3
Active Trust,Jalon Chan,2012-02-12,//35.190.93.184/sermons/20120212_sunday_jalon_chan_active_trust.mp3
God’s Calling,Tony Chon,2012-02-05,//35.190.93.184/sermons/20120205_sunday_pastor_tony_gods_calling.mp3
Priority No. 2,Yohan Kim,2012-01-29,//35.190.93.184/sermons/20120129_sunday_pastor_yohan_priority_number_2.mp3
A Pain-driven Ministry,Henry Kim,2012-01-22,//35.190.93.184/sermons/20120122_sunday_henry_kim_a_pain_driven_ministry.mp3
The Grace to Repent,Max Lee,2012-01-15,//35.190.93.184/sermons/20120115_sunday_dr_max_lee_the_grace_to_repent.mp3
Remember,Yohan Kim,2012-01-08,//35.190.93.184/sermons/20120108_sunday_yohan_kim_remember.mp3
Out of a Far Country,Christopher Yuan,2011-12-30,//35.190.93.184/sermons/20111230_sunday_christopher_yuan_out_of_a_far_country.mp3
Beyond the Immediate,Ben Han,2011-12-11,//35.190.93.184/sermons/20111211_sunday_ben_han_beyond_the_immediate.mp3
Truly Thankful,Jalon Chan,2011-11-27,//35.190.93.184/sermons/20111127_sunday_jalon_chan_truly_thankful.mp3
The Gospel and Sociology,Henry Kim,2011-11-20,//35.190.93.184/sermons/20111120_sunday_henry_kim_the_gospel_and_sociology.mp3
Mindful of God’s Heart,Paul Horng,2011-11-13,//35.190.93.184/sermons/20111112_sunday_paul_horng_mindful_of_gods_heart.mp3
God is Able,Tony Chon,2011-11-06,//35.190.93.184/sermons/20111106_sunday_tony_chon_god_is_able.mp3
"With God, Everything is Possible",Hicham Chehab,2011-10-30,//35.190.93.184/sermons/20111030_sunday_hicham_chehab_with_god_everything_is_possible.mp3
Growing Up,Josh Lin,2011-10-16,//35.190.93.184/sermons/20111016_sunday_josh_lin_growing_up.mp3
God’s Unstoppable Story,Jong Park,2011-10-09,//35.190.93.184/sermons/20111009_sunday_pastor_jong_park_gods_unstoppable_story.mp3
The Gracious Hand of God,Paul Chow,2011-09-25,//35.190.93.184/sermons/20110925_sunday_paul_chow_the_gracious_hand_of_god.mp3
Preparing For a New Sound,Jimmy Kuo,2011-09-18,//35.190.93.184/sermons/20110918_sunday_jimmy_kuo_preparing_for_a_new_sound.mp3
Wisdom And Renewal,Alex Chu,2011-08-28,//35.190.93.184/sermons/20110828_sunday_alex_chu_wisdom_and_renewal.mp3
The Miraculous Feeding,Alex Chu,2011-08-21,//35.190.93.184/sermons/20110821_sunday_pastor_alex_the_miraculous_feeding.mp3
Community Grows Through Humility,Alex Chu,2011-07-24,//35.190.93.184/sermons/20110724_sunday_pastor_alex_community_grows_through_humility.mp3
Knowing Christ,Alex Chu,2011-06-12,//35.190.93.184/sermons/20110612_pastor_alex_knowing_christ.mp3
Come And Follow Me,Alex Chu,2011-05-22,//35.190.93.184/sermons/20110522_sunday_pastor_alex_come_and_follow_me.mp3
Vision Sunday,Alex Chu,2011-04-04,//35.190.93.184/sermons/20110403_sunday_pastor_alex_vision_sunday.mp3
Community Of Healthy Relationships,Alex Chu,2011-03-13,//35.190.93.184/sermons/20110313_sunday_pastor_alex_community.mp3
Glory,Tony Chon,2011-01-23,//35.190.93.184/sermons/20110123_sunday_tony_chon_glory.mp3
Paradise Lost,Alex Chu,2010-08-15,//35.190.93.184/sermons/20100815_sunday_alex_chu_paradise.mp3
In Our Father’s Arms,Alex Chu,2010-08-08,//35.190.93.184/sermons/20100808_sunday_alex_chu_father.mp3
Welcome to the Family of Believers,Alex Chu,2010-07-18,//35.190.93.184/sermons/20100718_sunday_alex_chu_family.mp3
Keeping In Step With The Spirit,Alex Chu,2010-07-11,//35.190.93.184/sermons/20100711_sunday_alex_chu_step.mp3
Generous Giving,Alex Chu,2010-03-14,//35.190.93.184/sermons/20100314_sunday_alex_chu_giving.mp3
The Lavish Life,Alex Chu,2010-02-21,//35.190.93.184/sermons/20100221_sunday_alex_chu_the_lavish_life.mp3
Sing A New Song,Alex Chu,2010-01-24,//35.190.93.184/sermons/20100124_alex_chu_sing.mp3
Reflections On Ps 46 In The Wake Of The Haitian Earthquake,Alex Chu,2010-01-17,//35.190.93.184/sermons/20100117_alex_chu_haitian_earthquake.mp3
Dating - What’s Love Got To Do With It?,Alex Chu,2009-11-15,//35.190.93.184/sermons/20091115_sunday_alex_chu_dating_whats_love_got_to_do_with_it.mp3
How Jesus Loves Us,Alex Chu,2009-11-08,//35.190.93.184/sermons/20091108_sunday_alex_chu_how_jesus_loves_us.mp3
Surrendering To Gain The Treasure (Session 1),David Kang,2010-07-03,//35.190.93.184/sermons/20100703_morning_message_treasure.mp3
In The Hands Of The Committed One (Session 2),David Kang,2010-07-03,//35.190.93.184/sermons/20100703_evening_message_romans_8_28.mp3
Sacrifice (Session 3),David Kang,2010-07-04,//35.190.93.184/sermons/20100704_morning_message_sacrifice.mp3
Surrendering As A Church (Session 4),David Kang,2010-07-04,//35.190.93.184/sermons/20100704_evening_message_the_church_haggai_1.mp3
The Power To Commit (Session 5),David Kang,2010-07-05,//35.190.93.184/sermons/20100705_morning_message_obedience.mp3
"The Da Vinci Code, The New Testament, and the Gospels of Thomas and Judas",Paul Copan,2010-03-06,//35.190.93.184/sermons/20100306_saturday_paul_copan_davinci.mp3
When God Goes to Starbucks: A Guide to Everyday Apologetics,Paul Copan,2010-03-06,//35.190.93.184/sermons/20100306_saturday_paul_copan_everyday_apologetics.mp3
"Understanding Islam, Reaching Muslims",Paul Copan,2010-03-06,//35.190.93.184/sermons/20100306_saturday_paul_copan_islam.mp3
The Problem of Evil: Can we be good without God?,Paul Copan,2010-03-07,//35.190.93.184/sermons/20100307_sunday_paul_copan_evil.mp3
Seeing Is Not Believing,Tony Chon,2011-07-31,//35.190.93.184/sermons/20110731_sunday_tony_chon_seeing_is_not_believing.mp3
Abide In Me,Li Tai,2011-06-26,//35.190.93.184/sermons/20110626_li_tai_abide_in_me.mp3
The Leading Of The Holy Spirit,Paul Chow,2011-06-19,//35.190.93.184/sermons/20110619_sunday_paul_chow_leading_of_the_holy_spirit.mp3
Transitions,Josh Koh,2011-06-06,//35.190.93.184/sermons/20110605_sunday_josh_koh_transitions.mp3
Into The Depths Of God,Paul Chow,2011-04-17,//35.190.93.184/sermons/20110417_sunday_paul_chow_into_the_depths_of_god.mp3
Forgiveness,Jeff Zuercher,2011-04-10,//35.190.93.184/sermons/20110410_sunday_jeff_zuercher_forgiveness.mp3
They’ll Know We Are Christians By Our Love,Frank Piszczor,2011-03-27,//35.190.93.184/sermons/20110327_sunday_frank_piszczor_theyll_know_we_are_christians_by_our_love.mp3
Bearing Gospel Fruit,Milo Cho,2011-03-20,//35.190.93.184/sermons/20110320_sunday_milo_cho_bearing_gospel_fruit.mp3
Intimacy With God,Mike Moline,2010-08-22,//35.190.93.184/sermons/20100822_mike_moline_intimacy_with_god.mp3
The #1 Fan,Jeff Zuercher,2010-02-06,//35.190.93.184/sermons/20110206_sunday_jeff_zuercher_fan.mp3
The Hope-Giver,Michael Moline,2010-01-10,//35.190.93.184/sermons/20100110_sunday_mike_moline_hope3.mp3
How Majestic Is Your Name,Gary Hua,2009-10-25,//35.190.93.184/sermons/20091025_sunday_gary_hua_how_majestic_is_your_name.mp3
God’s Plan of Redemption,Paul Chow,2009-09-06,//35.190.93.184/sermons/20090906_sunday_paul_chow_gods_plan_of_redemption.mp3
Hesed Love,Stan Yee,2009-09-27,//35.190.93.184/sermons/20090927_sunday_stan_yee_hesed_love.mp3
Abundant Life in Jesus,Michael Moline,2009-07-26,//35.190.93.184/sermons/messages-20090726.m4a
Adoption in Christ,Samuel Lee,2010-04-25,//35.190.93.184/sermons/20100425_sunday_sam_lee_adoption.mp3
